algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count,avg_runtime,perf_variation
spr,mg,3,0,0,1024,80,42.46,20,48.99294964028777,6.532949640287768
pak,mg,3,0,0,1024,80,41.52,20,45.263666666666666,3.7436666666666625
rand,mg,3,0,0,1024,80,42.85,20,50.6912,7.841200000000001
spr,mg,4,0,1,1024,80,41.55,20,48.99294964028777,7.442949640287772
pak,mg,4,0,1,1024,80,41.34,20,45.263666666666666,3.923666666666662
rand,mg,4,0,1,1024,80,41.52,20,50.6912,9.171199999999999
spr,mg,5,0,2,1024,80,41.61,20,48.99294964028777,7.3829496402877695
pak,mg,5,0,2,1024,80,41.31,20,45.263666666666666,3.9536666666666633
rand,mg,5,0,2,1024,80,41.53,20,50.6912,9.161200000000001
spr,mg,1,2,0,1024,115,54.56,20,48.99294964028777,5.567050359712233
pak,mg,1,2,0,1024,115,44.58,20,45.263666666666666,0.6836666666666673
rand,mg,1,2,0,1024,115,72.83,20,50.6912,22.138799999999996
spr,mg,2,1,0,1024,115,45.66,20,48.99294964028777,3.3329496402877723
pak,mg,2,1,0,1024,115,42.12,20,45.263666666666666,3.143666666666668
rand,mg,2,1,0,1024,115,46.84,20,50.6912,3.8511999999999986
spr,mg,3,0,0,1024,115,41.69,20,48.99294964028777,7.302949640287771
pak,mg,3,0,0,1024,115,40.91,20,45.263666666666666,4.353666666666669
rand,mg,3,0,0,1024,115,41.74,20,50.6912,8.9512
spr,mg,4,0,1,1024,115,40.81,20,48.99294964028777,8.182949640287767
pak,mg,4,0,1,1024,115,40.66,20,45.263666666666666,4.603666666666669
rand,mg,4,0,1,1024,115,40.67,20,50.6912,10.0212
spr,mg,5,0,2,1024,115,40.76,20,48.99294964028777,8.23294964028777
pak,mg,5,0,2,1024,115,40.62,20,45.263666666666666,4.643666666666668
rand,mg,5,0,2,1024,115,40.71,20,50.6912,9.981200000000001
spr,mg,1,2,0,1024,64,60.68,24,48.99294964028777,11.68705035971223
pak,mg,1,2,0,1024,64,53.99,24,45.263666666666666,8.726333333333336
rand,mg,1,2,0,1024,64,84.14,24,50.6912,33.4488
spr,mg,2,1,0,1024,64,56.3,24,48.99294964028777,7.307050359712228
pak,mg,2,1,0,1024,64,53.4,24,45.263666666666666,8.136333333333333
rand,mg,2,1,0,1024,64,60.01,24,50.6912,9.318799999999996
spr,mg,3,0,0,1024,64,53.92,24,48.99294964028777,4.927050359712233
pak,mg,3,0,0,1024,64,52.93,24,45.263666666666666,7.666333333333334
rand,mg,3,0,0,1024,64,54.82,24,50.6912,4.128799999999998
spr,mg,4,0,1,1024,64,53.72,24,48.99294964028777,4.72705035971223
pak,mg,4,0,1,1024,64,52.77,24,45.263666666666666,7.5063333333333375
rand,mg,4,0,1,1024,64,53.68,24,50.6912,2.9887999999999977
spr,mg,5,0,2,1024,64,53.67,24,48.99294964028777,4.677050359712233
pak,mg,5,0,2,1024,64,52.83,24,45.263666666666666,7.566333333333333
rand,mg,5,0,2,1024,64,53.67,24,50.6912,2.9787999999999997
spr,mg,1,2,0,1024,80,57.01,24,48.99294964028777,8.01705035971223
pak,mg,1,2,0,1024,80,50.66,24,45.263666666666666,5.396333333333331
rand,mg,1,2,0,1024,80,74.82,24,50.6912,24.12879999999999
spr,mg,2,1,0,1024,80,52.34,24,48.99294964028777,3.3470503597122345
pak,mg,2,1,0,1024,80,49.97,24,45.263666666666666,4.706333333333333
rand,mg,2,1,0,1024,80,55.73,24,50.6912,5.038799999999995
spr,mg,3,0,0,1024,80,49.4,24,48.99294964028777,0.4070503597122297
pak,mg,3,0,0,1024,80,49.07,24,45.263666666666666,3.8063333333333347
rand,mg,3,0,0,1024,80,49.98,24,50.6912,0.7112000000000052
spr,mg,4,0,1,1024,80,49.08,24,48.99294964028777,0.08705035971222941
pak,mg,4,0,1,1024,80,48.94,24,45.263666666666666,3.676333333333332
rand,mg,4,0,1,1024,80,49.06,24,50.6912,1.6311999999999998
spr,mg,5,0,2,1024,80,49.08,24,48.99294964028777,0.08705035971222941
pak,mg,5,0,2,1024,80,49.04,24,45.263666666666666,3.7763333333333335
rand,mg,5,0,2,1024,80,49.12,24,50.6912,1.5712000000000046
spr,mg,1,2,0,1024,115,55.89,24,48.99294964028777,6.897050359712232
pak,mg,1,2,0,1024,115,49.68,24,45.263666666666666,4.416333333333334
rand,mg,1,2,0,1024,115,72.08,24,50.6912,21.388799999999996
spr,mg,2,1,0,1024,115,51.16,24,48.99294964028777,2.1670503597122277
pak,mg,2,1,0,1024,115,48.8,24,45.263666666666666,3.5363333333333316
rand,mg,2,1,0,1024,115,54.51,24,50.6912,3.818799999999996
spr,mg,3,0,0,1024,115,48.17,24,48.99294964028777,0.8229496402877672
pak,mg,3,0,0,1024,115,48.06,24,45.263666666666666,2.7963333333333367
rand,mg,3,0,0,1024,115,48.83,24,50.6912,1.8612000000000037
spr,mg,4,0,1,1024,115,47.63,24,48.99294964028777,1.3629496402877663
pak,mg,4,0,1,1024,115,47.94,24,45.263666666666666,2.676333333333332
rand,mg,4,0,1,1024,115,47.79,24,50.6912,2.901200000000003
spr,mg,5,0,2,1024,115,47.57,24,48.99294964028777,1.4229496402877686
pak,mg,5,0,2,1024,115,47.88,24,45.263666666666666,2.616333333333337
rand,mg,5,0,2,1024,115,47.78,24,50.6912,2.911200000000001
rand,mg,1,2,0,1024,64,59.9,16,50.6912,9.208799999999997
rand,mg,2,1,0,1024,64,42.77,16,50.6912,7.921199999999999
rand,mg,3,0,0,1024,64,38.93,16,50.6912,11.761200000000002
rand,mg,4,0,1,1024,64,37.47,16,50.6912,13.221200000000003
rand,mg,5,0,2,1024,64,37.57,16,50.6912,13.121200000000002
rand,mg,1,2,0,1024,80,57.05,16,50.6912,6.358799999999995
rand,mg,2,1,0,1024,80,39.22,16,50.6912,11.471200000000003
rand,mg,3,0,0,1024,80,36.34,16,50.6912,14.351199999999999
rand,mg,4,0,1,1024,80,35.04,16,50.6912,15.651200000000003
rand,mg,5,0,2,1024,80,35.06,16,50.6912,15.6312
rand,mg,1,2,0,1024,115,56.53,16,50.6912,5.838799999999999
rand,mg,2,1,0,1024,115,41.88,16,50.6912,8.8112
rand,mg,3,0,0,1024,115,36.05,16,50.6912,14.641200000000005
rand,mg,4,0,1,1024,115,34.68,16,50.6912,16.011200000000002
rand,mg,5,0,2,1024,115,34.68,16,50.6912,16.011200000000002
rand,mg,1,2,0,1024,64,64.53,20,50.6912,13.838799999999999
rand,mg,2,1,0,1024,64,50.37,20,50.6912,0.3212000000000046
rand,mg,3,0,0,1024,64,46.69,20,50.6912,4.001200000000004
rand,mg,4,0,1,1024,64,45.38,20,50.6912,5.3111999999999995
rand,mg,5,0,2,1024,64,45.16,20,50.6912,5.5312000000000054
rand,mg,1,2,0,1024,80,69.92,20,50.6912,19.2288
rand,mg,2,1,0,1024,80,47.19,20,50.6912,3.5012000000000043
rand,mg,3,0,0,1024,80,43.03,20,50.6912,7.661200000000001
rand,mg,4,0,1,1024,80,41.7,20,50.6912,8.9912
rand,mg,5,0,2,1024,80,41.42,20,50.6912,9.2712
rand,mg,1,2,0,1024,115,69.23,20,50.6912,18.538800000000002
rand,mg,2,1,0,1024,115,46.62,20,50.6912,4.071200000000005
rand,mg,3,0,0,1024,115,41.94,20,50.6912,8.751200000000004
rand,mg,4,0,1,1024,115,40.59,20,50.6912,10.101199999999999
rand,mg,5,0,2,1024,115,40.71,20,50.6912,9.981200000000001
rand,mg,1,2,0,1024,64,72.24,24,50.6912,21.548799999999993
rand,mg,2,1,0,1024,64,59.0,24,50.6912,8.308799999999998
rand,mg,3,0,0,1024,64,54.69,24,50.6912,3.9987999999999957
rand,mg,4,0,1,1024,64,54.03,24,50.6912,3.338799999999999
rand,mg,5,0,2,1024,64,53.62,24,50.6912,2.9287999999999954
rand,mg,1,2,0,1024,80,72.74,24,50.6912,22.048799999999993
rand,mg,2,1,0,1024,80,55.45,24,50.6912,4.758800000000001
rand,mg,3,0,0,1024,80,49.8,24,50.6912,0.8912000000000049
rand,mg,4,0,1,1024,80,48.94,24,50.6912,1.7512000000000043
rand,mg,5,0,2,1024,80,49.16,24,50.6912,1.5312000000000054
rand,mg,1,2,0,1024,115,78.27,24,50.6912,27.578799999999994
rand,mg,2,1,0,1024,115,54.39,24,50.6912,3.6987999999999985
rand,mg,3,0,0,1024,115,48.43,24,50.6912,2.2612000000000023
rand,mg,4,0,1,1024,115,47.53,24,50.6912,3.161200000000001
rand,mg,5,0,2,1024,115,47.5,24,50.6912,3.191200000000002
spr,mg,1,2,0,2048,64,33.34,16,48.99294964028777,15.652949640287765
rand,mg,1,2,0,2048,64,33.14,16,50.6912,17.5512
spr,mg,2,1,0,2048,64,23.18,16,48.99294964028777,25.81294964028777
rand,mg,2,1,0,2048,64,24.4,16,50.6912,26.291200000000003
spr,mg,3,0,0,2048,64,21.23,16,48.99294964028777,27.76294964028777
rand,mg,3,0,0,2048,64,21.36,16,50.6912,29.331200000000003
spr,mg,4,0,1,2048,64,20.85,16,48.99294964028777,28.142949640287767
rand,mg,4,0,1,2048,64,21.28,16,50.6912,29.4112
spr,mg,5,0,2,2048,64,20.86,16,48.99294964028777,28.13294964028777
rand,mg,5,0,2,2048,64,21.02,16,50.6912,29.671200000000002
spr,mg,1,2,0,2048,80,32.19,16,48.99294964028777,16.80294964028777
rand,mg,1,2,0,2048,80,43.76,16,50.6912,6.931200000000004
spr,mg,2,1,0,2048,80,22.19,16,48.99294964028777,26.802949640287768
rand,mg,2,1,0,2048,80,24.24,16,50.6912,26.451200000000004
spr,mg,3,0,0,2048,80,19.99,16,48.99294964028777,29.00294964028777
rand,mg,3,0,0,2048,80,20.09,16,50.6912,30.601200000000002
rand,mg,4,0,1,2048,80,19.65,16,50.6912,31.041200000000003
spr,mg,5,0,2,2048,80,19.66,16,48.99294964028777,29.33294964028777
rand,mg,5,0,2,2048,80,19.78,16,50.6912,30.9112
spr,mg,1,2,0,2048,115,29.98,16,48.99294964028777,19.01294964028777
