algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count,perf_variation
pak,cg,2,1,0,1024,64,38.83,20,7.353635416666663
pak,cg,2,1,0,1024,64,38.93,20,7.453635416666664
pak,cg,2,1,0,1024,64,38.84,20,7.363635416666668
rand,cg,2,1,0,1024,64,46.67,20,15.193635416666666
rand,cg,2,1,0,1024,64,45.23,20,13.753635416666661
rand,cg,2,1,0,1024,64,43.06,20,11.583635416666667
spr,cg,2,1,0,1024,64,38.93,20,7.453635416666664
spr,cg,2,1,0,1024,64,38.99,20,7.513635416666666
spr,cg,2,1,0,1024,64,43.11,20,11.633635416666664
pak,cg,2,1,0,1024,64,42.75,24,11.273635416666664
pak,cg,2,1,0,1024,64,42.79,24,11.313635416666664
pak,cg,2,1,0,1024,64,42.82,24,11.343635416666665
rand,cg,2,1,0,1024,64,49.1,24,17.623635416666666
rand,cg,2,1,0,1024,64,47.15,24,15.673635416666663
rand,cg,2,1,0,1024,64,48.72,24,17.243635416666663
spr,cg,2,1,0,1024,64,42.12,24,10.643635416666662
spr,cg,2,1,0,1024,64,42.12,24,10.643635416666662
spr,cg,2,1,0,1024,64,42.07,24,10.593635416666665
pak,cg,1,2,0,1024,64,34.03,16,2.5536354166666655
pak,cg,1,2,0,1024,64,35.32,16,3.8436354166666646
pak,cg,1,2,0,1024,64,33.6,16,2.1236354166666658
rand,cg,1,2,0,1024,64,66.91,16,35.43363541666666
rand,cg,1,2,0,1024,64,60.69,16,29.213635416666662
rand,cg,1,2,0,1024,64,44.45,16,12.973635416666667
spr,cg,1,2,0,1024,64,46.97,16,15.493635416666663
spr,cg,1,2,0,1024,64,46.93,16,15.453635416666664
spr,cg,1,2,0,1024,64,46.99,16,15.513635416666666
pak,cg,1,2,0,1024,64,41.97,20,10.493635416666663
pak,cg,1,2,0,1024,64,42.01,20,10.533635416666662
pak,cg,1,2,0,1024,64,42.09,20,10.613635416666668
rand,cg,1,2,0,1024,64,82.01,20,50.53363541666667
rand,cg,1,2,0,1024,64,85.35,20,53.87363541666666
rand,cg,1,2,0,1024,64,59.51,20,28.033635416666662
spr,cg,1,2,0,1024,64,53.06,20,21.583635416666667
spr,cg,1,2,0,1024,64,53.19,20,21.713635416666662
spr,cg,1,2,0,1024,64,52.93,20,21.453635416666664
pak,cg,1,2,0,1024,64,44.98,24,13.503635416666661
pak,cg,1,2,0,1024,64,44.84,24,13.363635416666668
pak,cg,1,2,0,1024,64,44.7,24,13.223635416666667
rand,cg,1,2,0,1024,64,76.36,24,44.883635416666664
rand,cg,1,2,0,1024,64,80.5,24,49.023635416666664
rand,cg,1,2,0,1024,64,73.37,24,41.89363541666667
spr,cg,1,2,0,1024,64,56.43,24,24.953635416666664
spr,cg,1,2,0,1024,64,56.47,24,24.993635416666663
spr,cg,1,2,0,1024,64,56.44,24,24.963635416666662
pak,cg,3,0,0,1024,80,27.47,16,4.006364583333337
pak,cg,3,0,0,1024,80,27.52,16,3.956364583333336
pak,cg,3,0,0,1024,80,27.56,16,3.916364583333337
rand,cg,3,0,0,1024,80,30.23,16,1.2463645833333352
rand,cg,3,0,0,1024,80,30.32,16,1.1563645833333354
rand,cg,3,0,0,1024,80,31.4,16,0.07636458333333707
spr,cg,3,0,0,1024,80,27.37,16,4.106364583333335
spr,cg,3,0,0,1024,80,27.42,16,4.056364583333334
spr,cg,3,0,0,1024,80,27.43,16,4.046364583333336
pak,cg,3,0,0,1024,80,33.74,20,2.2636354166666663
pak,cg,3,0,0,1024,80,33.41,20,1.933635416666661
pak,cg,3,0,0,1024,80,33.65,20,2.173635416666663
rand,cg,3,0,0,1024,80,35.81,20,4.333635416666667
rand,cg,3,0,0,1024,80,34.35,20,2.8736354166666658
rand,cg,3,0,0,1024,80,35.94,20,4.463635416666662
spr,cg,3,0,0,1024,80,34.17,20,2.693635416666666
spr,cg,3,0,0,1024,80,34.09,20,2.6136354166666678
spr,cg,3,0,0,1024,80,34.04,20,2.5636354166666635
pak,cg,3,0,0,1024,80,36.23,24,4.753635416666661
pak,cg,3,0,0,1024,80,36.39,24,4.913635416666665
pak,cg,3,0,0,1024,80,36.27,24,4.7936354166666675
rand,cg,3,0,0,1024,80,37.65,24,6.173635416666663
rand,cg,3,0,0,1024,80,38.32,24,6.843635416666665
rand,cg,3,0,0,1024,80,38.44,24,6.963635416666662
spr,cg,3,0,0,1024,80,36.93,24,5.453635416666664
spr,cg,3,0,0,1024,80,36.92,24,5.443635416666666
spr,cg,3,0,0,1024,80,36.86,24,5.383635416666664
pak,cg,4,0,1,1024,80,26.28,16,5.1963645833333345
pak,cg,4,0,1,1024,80,26.27,16,5.206364583333336
pak,cg,4,0,1,1024,80,26.27,16,5.206364583333336
rand,cg,4,0,1,1024,80,26.16,16,5.3163645833333355
rand,cg,4,0,1,1024,80,26.13,16,5.346364583333337
rand,cg,4,0,1,1024,80,26.09,16,5.386364583333336
spr,cg,4,0,1,1024,80,26.79,16,4.6863645833333365
spr,cg,4,0,1,1024,80,26.77,16,4.706364583333336
spr,cg,4,0,1,1024,80,26.77,16,4.706364583333336
pak,cg,4,0,1,1024,80,33.0,20,1.5236354166666644
pak,cg,4,0,1,1024,80,32.96,20,1.4836354166666652
pak,cg,4,0,1,1024,80,32.87,20,1.3936354166666618
rand,cg,4,0,1,1024,80,32.8,20,1.3236354166666615
rand,cg,4,0,1,1024,80,32.96,20,1.4836354166666652
rand,cg,4,0,1,1024,80,32.73,20,1.2536354166666612
spr,cg,4,0,1,1024,80,33.35,20,1.8736354166666658
spr,cg,4,0,1,1024,80,33.3,20,1.8236354166666615
spr,cg,4,0,1,1024,80,33.34,20,1.8636354166666678
pak,cg,4,0,1,1024,80,35.91,24,4.433635416666661
pak,cg,4,0,1,1024,80,35.86,24,4.383635416666664
pak,cg,4,0,1,1024,80,35.95,24,4.473635416666667
rand,cg,4,0,1,1024,80,36.31,24,4.833635416666667
rand,cg,4,0,1,1024,80,36.43,24,4.953635416666664
rand,cg,4,0,1,1024,80,35.87,24,4.393635416666662
spr,cg,4,0,1,1024,80,36.25,24,4.773635416666664
spr,cg,4,0,1,1024,80,36.37,24,4.893635416666662
spr,cg,4,0,1,1024,80,36.32,24,4.843635416666665
pak,cg,5,0,2,1024,80,26.27,16,5.206364583333336
pak,cg,5,0,2,1024,80,26.23,16,5.246364583333335
pak,cg,5,0,2,1024,80,26.3,16,5.176364583333335
rand,cg,5,0,2,1024,80,26.19,16,5.286364583333334
rand,cg,5,0,2,1024,80,26.33,16,5.146364583333337
rand,cg,5,0,2,1024,80,26.51,16,4.966364583333334
spr,cg,5,0,2,1024,80,26.78,16,4.6963645833333345
spr,cg,5,0,2,1024,80,26.78,16,4.6963645833333345
spr,cg,5,0,2,1024,80,26.78,16,4.6963645833333345
pak,cg,5,0,2,1024,80,32.9,20,1.423635416666663
pak,cg,5,0,2,1024,80,32.95,20,1.4736354166666672
pak,cg,5,0,2,1024,80,32.86,20,1.3836354166666638
rand,cg,5,0,2,1024,80,32.76,20,1.2836354166666624
rand,cg,5,0,2,1024,80,32.94,20,1.463635416666662
rand,cg,5,0,2,1024,80,32.91,20,1.433635416666661
spr,cg,5,0,2,1024,80,33.35,20,1.8736354166666658
spr,cg,5,0,2,1024,80,33.24,20,1.7636354166666663
spr,cg,5,0,2,1024,80,33.45,20,1.9736354166666672
pak,cg,5,0,2,1024,80,35.88,24,4.403635416666667
pak,cg,5,0,2,1024,80,35.92,24,4.443635416666666
pak,cg,5,0,2,1024,80,35.85,24,4.373635416666666
rand,cg,5,0,2,1024,80,35.84,24,4.363635416666668
rand,cg,5,0,2,1024,80,35.62,24,4.143635416666662
rand,cg,5,0,2,1024,80,36.08,24,4.603635416666663
spr,cg,5,0,2,1024,80,36.31,24,4.833635416666667
spr,cg,5,0,2,1024,80,36.25,24,4.773635416666664
spr,cg,5,0,2,1024,80,36.27,24,4.7936354166666675
pak,cg,2,1,0,1024,80,32.13,16,0.6536354166666669
pak,cg,2,1,0,1024,80,32.24,16,0.7636354166666663
pak,cg,2,1,0,1024,80,32.1,16,0.6236354166666658
rand,cg,2,1,0,1024,80,35.14,16,3.663635416666665
rand,cg,2,1,0,1024,80,34.05,16,2.5736354166666615
rand,cg,2,1,0,1024,80,34.24,16,2.7636354166666663
spr,cg,2,1,0,1024,80,32.2,16,0.7236354166666672
spr,cg,2,1,0,1024,80,32.11,16,0.6336354166666638
spr,cg,2,1,0,1024,80,32.11,16,0.6336354166666638
pak,cg,2,1,0,1024,80,37.76,20,6.283635416666662
pak,cg,2,1,0,1024,80,37.84,20,6.363635416666668
pak,cg,2,1,0,1024,80,37.76,20,6.283635416666662
rand,cg,2,1,0,1024,80,42.76,20,11.283635416666662
rand,cg,2,1,0,1024,80,41.72,20,10.243635416666663
rand,cg,2,1,0,1024,80,48.17,20,16.693635416666666
spr,cg,2,1,0,1024,80,37.85,20,6.373635416666666
spr,cg,2,1,0,1024,80,37.87,20,6.393635416666662
spr,cg,2,1,0,1024,80,37.92,20,6.443635416666666
pak,cg,2,1,0,1024,80,41.25,24,9.773635416666664
pak,cg,2,1,0,1024,80,41.2,24,9.723635416666667
pak,cg,2,1,0,1024,80,41.24,24,9.763635416666666
rand,cg,2,1,0,1024,80,49.11,24,17.633635416666664
rand,cg,2,1,0,1024,80,47.11,24,15.633635416666664
rand,cg,2,1,0,1024,80,46.87,24,15.393635416666662
spr,cg,2,1,0,1024,80,40.58,24,9.103635416666663
spr,cg,2,1,0,1024,80,40.53,24,9.053635416666665
spr,cg,2,1,0,1024,80,40.63,24,9.153635416666667
pak,cg,1,2,0,1024,80,34.73,16,3.2536354166666612
pak,cg,1,2,0,1024,80,34.71,16,3.233635416666665
pak,cg,1,2,0,1024,80,34.8,16,3.3236354166666615
rand,cg,1,2,0,1024,80,58.23,16,26.75363541666666
rand,cg,1,2,0,1024,80,70.85,16,39.37363541666666
rand,cg,1,2,0,1024,80,56.9,16,25.423635416666663
spr,cg,1,2,0,1024,80,46.29,16,14.813635416666664
spr,cg,1,2,0,1024,80,46.07,16,14.593635416666665
spr,cg,1,2,0,1024,80,46.28,16,14.803635416666665
pak,cg,1,2,0,1024,80,40.93,20,9.453635416666664
pak,cg,1,2,0,1024,80,40.94,20,9.463635416666662
pak,cg,1,2,0,1024,80,40.96,20,9.483635416666665
rand,cg,1,2,0,1024,80,77.17,20,45.693635416666666
rand,cg,1,2,0,1024,80,95.11,20,63.633635416666664
rand,cg,1,2,0,1024,80,68.58,20,37.10363541666666
spr,cg,1,2,0,1024,80,51.88,20,20.403635416666667
spr,cg,1,2,0,1024,80,51.93,20,20.453635416666664
spr,cg,1,2,0,1024,80,51.83,20,20.353635416666663
pak,cg,1,2,0,1024,80,43.35,24,11.873635416666666
pak,cg,1,2,0,1024,80,43.33,24,11.853635416666663
pak,cg,1,2,0,1024,80,43.31,24,11.833635416666667
rand,cg,1,2,0,1024,80,98.13,24,66.65363541666666
rand,cg,1,2,0,1024,80,77.94,24,46.46363541666666
rand,cg,1,2,0,1024,80,88.05,24,56.57363541666666
spr,cg,1,2,0,1024,80,55.13,24,23.653635416666667
spr,cg,1,2,0,1024,80,54.72,24,23.243635416666663
spr,cg,1,2,0,1024,80,55.03,24,23.553635416666665
pak,cg,3,0,0,2048,115,16.83,16,14.646364583333337
rand,cg,3,0,0,2048,115,18.84,16,12.636364583333336
spr,cg,3,0,0,2048,115,16.64,16,14.836364583333335
pak,cg,3,0,0,2048,115,19.87,20,11.606364583333335
rand,cg,3,0,0,2048,115,21.45,20,10.026364583333336
spr,cg,3,0,0,2048,115,20.27,20,11.206364583333336
pak,cg,3,0,0,2048,115,22.72,24,8.756364583333337
rand,cg,3,0,0,2048,115,23.78,24,7.6963645833333345
spr,cg,3,0,0,2048,115,23.24,24,8.236364583333337
pak,cg,4,0,1,2048,115,14.46,16,17.016364583333335
rand,cg,4,0,1,2048,115,15.25,16,16.226364583333336
spr,cg,4,0,1,2048,115,15.05,16,16.426364583333335
pak,cg,4,0,1,2048,115,19.3,20,12.176364583333335
rand,cg,4,0,1,2048,115,19.62,20,11.856364583333335
spr,cg,4,0,1,2048,115,19.38,20,12.096364583333337
pak,cg,4,0,1,2048,115,21.82,24,9.656364583333335
rand,cg,4,0,1,2048,115,21.67,24,9.806364583333334
spr,cg,4,0,1,2048,115,22.16,24,9.316364583333336
pak,cg,5,0,2,2048,115,14.49,16,16.986364583333334
rand,cg,5,0,2,2048,115,14.84,16,16.636364583333336
spr,cg,5,0,2,2048,115,14.98,16,16.496364583333335
pak,cg,5,0,2,2048,115,19.28,20,12.196364583333335
rand,cg,5,0,2,2048,115,20.24,20,11.236364583333337
spr,cg,5,0,2,2048,115,19.39,20,12.086364583333335
pak,cg,5,0,2,2048,115,21.76,24,9.716364583333334
rand,cg,5,0,2,2048,115,22.04,24,9.436364583333336
spr,cg,5,0,2,2048,115,22.06,24,9.416364583333337
pak,cg,2,1,0,2048,115,22.34,16,9.136364583333336
rand,cg,2,1,0,2048,115,25.58,16,5.896364583333337
spr,cg,2,1,0,2048,115,22.27,16,9.206364583333336
pak,cg,2,1,0,2048,115,24.87,20,6.606364583333335
rand,cg,2,1,0,2048,115,28.81,20,2.666364583333337
spr,cg,2,1,0,2048,115,25.68,20,5.796364583333336
pak,cg,2,1,0,2048,115,27.81,24,3.666364583333337
rand,cg,2,1,0,2048,115,31.17,24,0.30636458333333394
spr,cg,2,1,0,2048,115,28.02,24,3.456364583333336
pak,cg,1,2,0,2048,115,33.22,16,1.7436354166666632
rand,cg,1,2,0,2048,115,47.13,16,15.653635416666667
spr,cg,1,2,0,2048,115,35.63,16,4.153635416666667
pak,cg,1,2,0,2048,115,29.34,20,2.136364583333336
rand,cg,1,2,0,2048,115,45.16,20,13.683635416666661
spr,cg,1,2,0,2048,115,34.35,20,2.8736354166666658
pak,cg,1,2,0,2048,115,31.93,24,0.45363541666666407
rand,cg,1,2,0,2048,115,62.62,24,31.143635416666662
spr,cg,1,2,0,2048,115,37.09,24,5.613635416666668
pak,cg,3,0,0,2048,64,17.25,16,14.226364583333336
rand,cg,3,0,0,2048,64,18.3,16,13.176364583333335
spr,cg,3,0,0,2048,64,17.09,16,14.386364583333336
pak,cg,3,0,0,2048,64,20.8,20,10.676364583333335
rand,cg,3,0,0,2048,64,21.93,20,9.546364583333336
spr,cg,3,0,0,2048,64,21.25,20,10.226364583333336
pak,cg,3,0,0,2048,64,23.93,24,7.546364583333336
rand,cg,3,0,0,2048,64,25.16,24,6.3163645833333355
spr,cg,3,0,0,2048,64,24.37,24,7.106364583333335
pak,cg,4,0,1,2048,64,15.05,16,16.426364583333335
rand,cg,4,0,1,2048,64,15.4,16,16.076364583333337
spr,cg,4,0,1,2048,64,15.52,16,15.956364583333336
pak,cg,4,0,1,2048,64,20.3,20,11.176364583333335
rand,cg,4,0,1,2048,64,20.48,20,10.996364583333335
spr,cg,4,0,1,2048,64,20.3,20,11.176364583333335
pak,cg,4,0,1,2048,64,23.23,24,8.246364583333335
rand,cg,4,0,1,2048,64,23.26,24,8.216364583333334
spr,cg,4,0,1,2048,64,23.34,24,8.136364583333336
pak,cg,5,0,2,2048,64,14.96,16,16.516364583333335
rand,cg,5,0,2,2048,64,15.11,16,16.366364583333336
spr,cg,5,0,2,2048,64,15.49,16,15.986364583333335
pak,cg,5,0,2,2048,64,20.25,20,11.226364583333336
rand,cg,5,0,2,2048,64,20.31,20,11.166364583333337
spr,cg,5,0,2,2048,64,20.38,20,11.096364583333337
pak,cg,5,0,2,2048,64,23.24,24,8.236364583333337
rand,cg,5,0,2,2048,64,23.26,24,8.216364583333334
spr,cg,5,0,2,2048,64,23.35,24,8.126364583333334
pak,cg,2,1,0,2048,64,21.24,16,10.236364583333337
rand,cg,2,1,0,2048,64,26.26,16,5.216364583333334
spr,cg,2,1,0,2048,64,22.76,16,8.716364583333334
pak,cg,2,1,0,2048,64,25.64,20,5.836364583333335
rand,cg,2,1,0,2048,64,30.64,20,0.8363645833333351
spr,cg,2,1,0,2048,64,26.52,20,4.956364583333336
pak,cg,2,1,0,2048,64,29.33,24,2.1463645833333374
rand,cg,2,1,0,2048,64,30.78,24,0.6963645833333345
spr,cg,2,1,0,2048,64,28.94,24,2.5363645833333344
pak,cg,1,2,0,2048,64,33.79,16,2.3136354166666635
rand,cg,1,2,0,2048,64,47.64,16,16.163635416666665
spr,cg,1,2,0,2048,64,35.89,16,4.413635416666665
pak,cg,1,2,0,2048,64,30.47,20,1.0063645833333368
rand,cg,1,2,0,2048,64,54.1,20,22.623635416666666
spr,cg,1,2,0,2048,64,35.27,20,3.7936354166666675
pak,cg,1,2,0,2048,64,32.95,24,1.4736354166666672
rand,cg,1,2,0,2048,64,56.25,24,24.773635416666664
spr,cg,1,2,0,2048,64,38.11,24,6.633635416666664
pak,cg,3,0,0,2048,80,16.84,16,14.636364583333336
rand,cg,3,0,0,2048,80,17.74,16,13.736364583333337
spr,cg,3,0,0,2048,80,16.54,16,14.936364583333336
pak,cg,3,0,0,2048,80,20.02,20,11.456364583333336
rand,cg,3,0,0,2048,80,21.99,20,9.486364583333337
spr,cg,3,0,0,2048,80,20.47,20,11.006364583333337
pak,cg,3,0,0,2048,80,23.0,24,8.476364583333336
rand,cg,3,0,0,2048,80,23.61,24,7.866364583333336
spr,cg,3,0,0,2048,80,23.63,24,7.846364583333337
pak,cg,4,0,1,2048,80,14.45,16,17.026364583333336
rand,cg,4,0,1,2048,80,14.54,16,16.936364583333336
spr,cg,4,0,1,2048,80,15.02,16,16.456364583333336
pak,cg,4,0,1,2048,80,19.47,20,12.006364583333337
rand,cg,4,0,1,2048,80,19.69,20,11.786364583333334
spr,cg,4,0,1,2048,80,19.6,20,11.876364583333334
pak,cg,4,0,1,2048,80,22.18,24,9.296364583333336
rand,cg,4,0,1,2048,80,22.08,24,9.396364583333337
spr,cg,4,0,1,2048,80,22.51,24,8.966364583333334
pak,cg,5,0,2,2048,80,14.46,16,17.016364583333335
rand,cg,5,0,2,2048,80,14.59,16,16.886364583333336
spr,cg,5,0,2,2048,80,14.87,16,16.606364583333338
pak,cg,5,0,2,2048,80,19.47,20,12.006364583333337
rand,cg,5,0,2,2048,80,19.98,20,11.496364583333335
spr,cg,5,0,2,2048,80,19.6,20,11.876364583333334
pak,cg,5,0,2,2048,80,22.12,24,9.356364583333335
rand,cg,5,0,2,2048,80,22.15,24,9.326364583333337
spr,cg,5,0,2,2048,80,22.43,24,9.046364583333336
pak,cg,2,1,0,2048,80,22.31,16,9.166364583333337
rand,cg,2,1,0,2048,80,26.37,16,5.106364583333335
spr,cg,2,1,0,2048,80,22.23,16,9.246364583333335
pak,cg,2,1,0,2048,80,25.06,20,6.416364583333337
rand,cg,2,1,0,2048,80,29.43,20,2.046364583333336
spr,cg,2,1,0,2048,80,25.84,20,5.636364583333336
pak,cg,2,1,0,2048,80,28.1,24,3.3763645833333342
rand,cg,2,1,0,2048,80,30.98,24,0.4963645833333352
spr,cg,2,1,0,2048,80,28.27,24,3.206364583333336
pak,cg,1,2,0,2048,80,33.32,16,1.8436354166666646
rand,cg,1,2,0,2048,80,41.52,16,10.043635416666667
spr,cg,1,2,0,2048,80,35.88,16,4.403635416666667
pak,cg,1,2,0,2048,80,29.83,20,1.6463645833333374
rand,cg,1,2,0,2048,80,60.63,20,29.153635416666667
spr,cg,1,2,0,2048,80,34.69,20,3.213635416666662
pak,cg,1,2,0,2048,80,32.21,24,0.7336354166666652
rand,cg,1,2,0,2048,80,66.84,24,35.36363541666667
spr,cg,1,2,0,2048,80,37.18,24,5.703635416666664
pak,cg,3,0,0,2048,115,16.78,16,14.696364583333335
rand,cg,3,0,0,2048,115,17.27,16,14.206364583333336
spr,cg,3,0,0,2048,115,16.5,16,14.976364583333336
pak,cg,3,0,0,2048,115,22.53,24,8.946364583333335
rand,cg,3,0,0,2048,115,24.07,24,7.406364583333335
spr,cg,3,0,0,2048,115,23.24,24,8.236364583333337
pak,cg,4,0,1,2048,115,14.59,16,16.886364583333336
rand,cg,4,0,1,2048,115,14.5,16,16.976364583333336
spr,cg,4,0,1,2048,115,15.53,16,15.946364583333336
pak,cg,4,0,1,2048,115,21.76,24,9.716364583333334
rand,cg,4,0,1,2048,115,22.22,24,9.256364583333337
spr,cg,4,0,1,2048,115,22.37,24,9.106364583333335
pak,cg,5,0,2,2048,115,14.51,16,16.966364583333338
rand,cg,5,0,2,2048,115,14.57,16,16.906364583333335
spr,cg,5,0,2,2048,115,14.91,16,16.566364583333336
pak,cg,5,0,2,2048,115,21.8,24,9.676364583333335
rand,cg,5,0,2,2048,115,21.64,24,9.836364583333335
spr,cg,5,0,2,2048,115,22.18,24,9.296364583333336
pak,cg,2,1,0,2048,115,22.29,16,9.186364583333336
rand,cg,2,1,0,2048,115,26.13,16,5.346364583333337
spr,cg,2,1,0,2048,115,22.33,16,9.146364583333337
pak,cg,2,1,0,2048,115,27.95,24,3.5263645833333364
rand,cg,2,1,0,2048,115,29.6,24,1.8763645833333342
spr,cg,2,1,0,2048,115,27.98,24,3.496364583333335
pak,cg,1,2,0,2048,115,33.36,16,1.8836354166666638
rand,cg,1,2,0,2048,115,39.32,16,7.843635416666665
spr,cg,1,2,0,2048,115,35.29,16,3.8136354166666635
pak,cg,1,2,0,2048,115,31.82,24,0.34363541666666464
rand,cg,1,2,0,2048,115,55.89,24,24.413635416666665
spr,cg,1,2,0,2048,115,43.86,24,12.383635416666664
pak,cg,3,0,0,2048,64,17.24,16,14.236364583333337
rand,cg,3,0,0,2048,64,17.66,16,13.816364583333336
spr,cg,3,0,0,2048,64,17.15,16,14.326364583333337
pak,cg,3,0,0,2048,64,23.94,24,7.536364583333334
rand,cg,3,0,0,2048,64,24.95,24,6.526364583333336
spr,cg,3,0,0,2048,64,24.4,24,7.076364583333337
pak,cg,4,0,1,2048,64,15.0,16,16.476364583333336
rand,cg,4,0,1,2048,64,15.71,16,15.766364583333335
spr,cg,4,0,1,2048,64,15.48,16,15.996364583333335
pak,cg,4,0,1,2048,64,23.18,24,8.296364583333336
rand,cg,4,0,1,2048,64,23.26,24,8.216364583333334
spr,cg,4,0,1,2048,64,23.48,24,7.996364583333335
pak,cg,5,0,2,2048,64,14.99,16,16.486364583333334
rand,cg,5,0,2,2048,64,15.68,16,15.796364583333336
spr,cg,5,0,2,2048,64,15.5,16,15.976364583333336
pak,cg,5,0,2,2048,64,23.21,24,8.266364583333335
rand,cg,5,0,2,2048,64,23.22,24,8.256364583333337
spr,cg,5,0,2,2048,64,23.37,24,8.106364583333335
pak,cg,2,1,0,2048,64,22.89,16,8.586364583333335
rand,cg,2,1,0,2048,64,23.11,16,8.366364583333336
spr,cg,2,1,0,2048,64,22.75,16,8.726364583333336
pak,cg,2,1,0,2048,64,28.81,24,2.666364583333337
rand,cg,2,1,0,2048,64,33.79,24,2.3136354166666635
spr,cg,2,1,0,2048,64,28.9,24,2.576364583333337
pak,cg,1,2,0,2048,64,33.58,16,2.1036354166666626
rand,cg,1,2,0,2048,64,37.29,16,5.8136354166666635
spr,cg,1,2,0,2048,64,35.74,16,4.263635416666666
pak,cg,1,2,0,2048,64,32.9,24,1.423635416666663
rand,cg,1,2,0,2048,64,60.72,24,29.243635416666663
spr,cg,1,2,0,2048,64,46.07,24,14.593635416666665
pak,cg,3,0,0,2048,80,16.78,16,14.696364583333335
rand,cg,3,0,0,2048,80,16.93,16,14.546364583333336
spr,cg,3,0,0,2048,80,16.62,16,14.856364583333335
pak,cg,3,0,0,2048,80,23.08,24,8.396364583333337
rand,cg,3,0,0,2048,80,25.06,24,6.416364583333337
spr,cg,3,0,0,2048,80,23.64,24,7.836364583333335
pak,cg,4,0,1,2048,80,14.47,16,17.006364583333337
rand,cg,4,0,1,2048,80,15.47,16,16.006364583333337
spr,cg,4,0,1,2048,80,14.89,16,16.586364583333335
pak,cg,4,0,1,2048,80,22.15,24,9.326364583333337
rand,cg,4,0,1,2048,80,22.23,24,9.246364583333335
spr,cg,4,0,1,2048,80,22.57,24,8.906364583333335
pak,cg,5,0,2,2048,80,14.41,16,17.066364583333336
rand,cg,5,0,2,2048,80,14.64,16,16.836364583333335
spr,cg,5,0,2,2048,80,14.96,16,16.516364583333335
pak,cg,5,0,2,2048,80,22.13,24,9.346364583333337
rand,cg,5,0,2,2048,80,22.35,24,9.126364583333334
spr,cg,5,0,2,2048,80,22.44,24,9.036364583333334
pak,cg,2,1,0,2048,80,22.5,16,8.976364583333336
rand,cg,2,1,0,2048,80,22.63,16,8.846364583333337
spr,cg,2,1,0,2048,80,22.2,16,9.276364583333336
pak,cg,2,1,0,2048,80,28.07,24,3.4063645833333354
rand,cg,2,1,0,2048,80,32.64,24,1.163635416666665
spr,cg,2,1,0,2048,80,28.21,24,3.266364583333335
pak,cg,1,2,0,2048,80,33.38,16,1.903635416666667
rand,cg,1,2,0,2048,80,51.27,16,19.793635416666667
spr,cg,1,2,0,2048,80,35.41,16,3.933635416666661
pak,cg,1,2,0,2048,80,32.29,24,0.8136354166666635
rand,cg,1,2,0,2048,80,51.95,24,20.473635416666667
spr,cg,1,2,0,2048,80,37.05,24,5.5736354166666615
pak,cg,3,0,0,4096,115,13.47,16,18.006364583333337
pak,cg,3,0,0,4096,115,13.44,16,18.036364583333338
rand,cg,3,0,0,4096,115,13.43,16,18.046364583333336
rand,cg,3,0,0,4096,115,13.45,16,18.026364583333336
spr,cg,3,0,0,4096,115,13.42,16,18.056364583333334
spr,cg,3,0,0,4096,115,13.42,16,18.056364583333334
pak,cg,3,0,0,4096,115,17.93,20,13.546364583333336
pak,cg,3,0,0,4096,115,17.92,20,13.556364583333334
rand,cg,3,0,0,4096,115,18.13,20,13.346364583333337
rand,cg,3,0,0,4096,115,18.3,20,13.176364583333335
spr,cg,3,0,0,4096,115,18.92,20,12.556364583333334
spr,cg,3,0,0,4096,115,18.54,20,12.936364583333336
pak,cg,3,0,0,4096,115,20.45,24,11.026364583333336
rand,cg,3,0,0,4096,115,21.12,24,10.356364583333335
spr,cg,3,0,0,4096,115,20.94,24,10.536364583333334
pak,cg,4,0,1,4096,115,13.52,16,17.956364583333336
pak,cg,4,0,1,4096,115,13.44,16,18.036364583333338
rand,cg,4,0,1,4096,115,13.45,16,18.026364583333336
rand,cg,4,0,1,4096,115,13.41,16,18.066364583333336
spr,cg,4,0,1,4096,115,13.47,16,18.006364583333337
spr,cg,4,0,1,4096,115,13.46,16,18.016364583333335
pak,cg,4,0,1,4096,115,17.8,20,13.676364583333335
pak,cg,4,0,1,4096,115,17.78,20,13.696364583333335
rand,cg,4,0,1,4096,115,17.86,20,13.616364583333336
rand,cg,4,0,1,4096,115,17.74,20,13.736364583333337
spr,cg,4,0,1,4096,115,18.09,20,13.386364583333336
spr,cg,4,0,1,4096,115,18.13,20,13.346364583333337
pak,cg,4,0,1,4096,115,19.85,24,11.626364583333334
rand,cg,4,0,1,4096,115,19.55,24,11.926364583333335
spr,cg,4,0,1,4096,115,19.81,24,11.666364583333337
pak,cg,5,0,2,4096,115,13.42,16,18.056364583333334
pak,cg,5,0,2,4096,115,13.46,16,18.016364583333335
rand,cg,5,0,2,4096,115,13.44,16,18.036364583333338
rand,cg,5,0,2,4096,115,13.42,16,18.056364583333334
spr,cg,5,0,2,4096,115,13.45,16,18.026364583333336
spr,cg,5,0,2,4096,115,13.42,16,18.056364583333334
pak,cg,5,0,2,4096,115,17.78,20,13.696364583333335
pak,cg,5,0,2,4096,115,17.82,20,13.656364583333335
rand,cg,5,0,2,4096,115,17.82,20,13.656364583333335
rand,cg,5,0,2,4096,115,17.85,20,13.626364583333334
spr,cg,5,0,2,4096,115,18.15,20,13.326364583333337
spr,cg,5,0,2,4096,115,18.12,20,13.356364583333335
