algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count,avg_runtime,perf_variation
rand,lu,5,0,2,512,64,88.34,24,45.534470588235294,42.80552941176471
rand,lu,1,2,0,512,80,84.33,24,45.534470588235294,38.795529411764704
rand,lu,2,1,0,512,80,75.16,24,45.534470588235294,29.625529411764703
rand,lu,3,0,0,512,80,76.39,24,45.534470588235294,30.855529411764707
rand,lu,4,0,1,512,80,75.28,24,45.534470588235294,29.745529411764707
rand,lu,5,0,2,512,80,76.42,24,45.534470588235294,30.885529411764708
rand,lu,1,2,0,512,115,78.79,24,45.534470588235294,33.25552941176471
rand,lu,2,1,0,512,115,70.87,24,45.534470588235294,25.33552941176471
rand,lu,3,0,0,512,115,70.34,24,45.534470588235294,24.80552941176471
rand,lu,4,0,1,512,115,69.42,24,45.534470588235294,23.885529411764708
rand,lu,5,0,2,512,115,70.72,24,45.534470588235294,25.185529411764705
spr,lu,1,2,0,1024,64,38.38,16,41.2041610738255,2.8241610738255005
pak,lu,1,2,0,1024,64,35.92,16,40.849066666666666,4.929066666666664
rand,lu,1,2,0,1024,64,43.33,16,45.534470588235294,2.2044705882352957
spr,lu,2,1,0,1024,64,36.47,16,41.2041610738255,4.734161073825504
pak,lu,2,1,0,1024,64,35.74,16,40.849066666666666,5.1090666666666635
rand,lu,2,1,0,1024,64,37.81,16,45.534470588235294,7.724470588235292
spr,lu,3,0,0,1024,64,35.75,16,41.2041610738255,5.454161073825503
pak,lu,3,0,0,1024,64,35.45,16,40.849066666666666,5.399066666666663
rand,lu,3,0,0,1024,64,35.59,16,45.534470588235294,9.94447058823529
spr,lu,4,0,1,1024,64,34.67,16,41.2041610738255,6.534161073825501
pak,lu,4,0,1,1024,64,35.5,16,40.849066666666666,5.3490666666666655
rand,lu,4,0,1,1024,64,35.27,16,45.534470588235294,10.264470588235291
spr,lu,5,0,2,1024,64,34.83,16,41.2041610738255,6.374161073825505
pak,lu,5,0,2,1024,64,35.15,16,40.849066666666666,5.699066666666667
rand,lu,5,0,2,1024,64,34.97,16,45.534470588235294,10.564470588235295
spr,lu,1,2,0,1024,80,35.92,16,41.2041610738255,5.284161073825501
pak,lu,1,2,0,1024,80,32.83,16,40.849066666666666,8.019066666666667
rand,lu,1,2,0,1024,80,38.83,16,45.534470588235294,6.704470588235296
spr,lu,2,1,0,1024,80,33.21,16,41.2041610738255,7.994161073825502
pak,lu,2,1,0,1024,80,32.5,16,40.849066666666666,8.349066666666666
rand,lu,2,1,0,1024,80,33.84,16,45.534470588235294,11.69447058823529
spr,lu,3,0,0,1024,80,32.24,16,41.2041610738255,8.964161073825501
pak,lu,3,0,0,1024,80,32.34,16,40.849066666666666,8.509066666666662
rand,lu,3,0,0,1024,80,32.66,16,45.534470588235294,12.874470588235297
spr,lu,4,0,1,1024,80,31.71,16,41.2041610738255,9.494161073825502
pak,lu,4,0,1,1024,80,32.03,16,40.849066666666666,8.819066666666664
rand,lu,4,0,1,1024,80,31.6,16,45.534470588235294,13.934470588235293
spr,lu,5,0,2,1024,80,31.77,16,41.2041610738255,9.434161073825504
pak,lu,5,0,2,1024,80,32.4,16,40.849066666666666,8.449066666666667
rand,lu,5,0,2,1024,80,31.99,16,45.534470588235294,13.544470588235296
spr,lu,1,2,0,1024,115,35.52,16,41.2041610738255,5.6841610738255
pak,lu,1,2,0,1024,115,32.46,16,40.849066666666666,8.389066666666665
rand,lu,1,2,0,1024,115,41.59,16,45.534470588235294,3.9444705882352906
spr,lu,2,1,0,1024,115,33.35,16,41.2041610738255,7.854161073825502
pak,lu,2,1,0,1024,115,31.91,16,40.849066666666666,8.939066666666665
rand,lu,2,1,0,1024,115,33.38,16,45.534470588235294,12.154470588235291
spr,lu,3,0,0,1024,115,32.15,16,41.2041610738255,9.054161073825505
pak,lu,3,0,0,1024,115,31.95,16,40.849066666666666,8.899066666666666
rand,lu,3,0,0,1024,115,32.47,16,45.534470588235294,13.064470588235295
spr,lu,4,0,1,1024,115,31.87,16,41.2041610738255,9.334161073825502
pak,lu,4,0,1,1024,115,31.68,16,40.849066666666666,9.169066666666666
rand,lu,4,0,1,1024,115,32.07,16,45.534470588235294,13.464470588235294
spr,lu,5,0,2,1024,115,31.55,16,41.2041610738255,9.654161073825502
pak,lu,5,0,2,1024,115,32.04,16,40.849066666666666,8.809066666666666
rand,lu,5,0,2,1024,115,31.73,16,45.534470588235294,13.804470588235294
spr,lu,1,2,0,1024,64,44.55,20,41.2041610738255,3.345838926174494
pak,lu,1,2,0,1024,64,42.29,20,40.849066666666666,1.4409333333333336
rand,lu,1,2,0,1024,64,49.47,20,45.534470588235294,3.935529411764705
spr,lu,2,1,0,1024,64,42.2,20,41.2041610738255,0.9958389261744998
pak,lu,2,1,0,1024,64,40.95,20,40.849066666666666,0.10093333333333732
rand,lu,2,1,0,1024,64,42.71,20,45.534470588235294,2.824470588235293
spr,lu,3,0,0,1024,64,41.82,20,41.2041610738255,0.6158389261744972
pak,lu,3,0,0,1024,64,40.69,20,40.849066666666666,0.1590666666666678
rand,lu,3,0,0,1024,64,41.97,20,45.534470588235294,3.564470588235295
spr,lu,4,0,1,1024,64,41.78,20,41.2041610738255,0.5758389261744981
