algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
spr,amr,3,0,0,4096,115,41.741467,24
pak,amr,4,0,1,4096,115,38.222544,24
rand,amr,4,0,1,4096,115,39.574198,24
spr,amr,4,0,1,4096,115,38.100356,24
pak,amr,5,0,2,4096,115,38.355352,24
rand,amr,5,0,2,4096,115,38.585351,24
spr,amr,5,0,2,4096,115,39.878355,24
pak,amr,2,1,0,4096,115,57.132081,24
rand,amr,2,1,0,4096,115,62.877693,24
spr,amr,2,1,0,4096,115,55.703720,24
pak,amr,1,2,0,4096,115,99.526550,24
rand,amr,1,2,0,4096,115,115.524370,24
spr,amr,1,2,0,4096,115,82.408329,24
pak,amr,3,0,0,4096,64,49.354965,24
rand,amr,3,0,0,4096,64,50.731605,24
spr,amr,3,0,0,4096,64,48.681190,24
pak,amr,4,0,1,4096,64,45.420014,24
rand,amr,4,0,1,4096,64,46.284565,24
spr,amr,4,0,1,4096,64,45.101913,24
pak,amr,5,0,2,4096,64,45.317775,24
rand,amr,5,0,2,4096,64,46.085524,24
spr,amr,5,0,2,4096,64,45.857882,24
pak,amr,2,1,0,4096,64,64.026377,24
rand,amr,2,1,0,4096,64,68.554110,24
spr,amr,2,1,0,4096,64,63.094387,24
pak,amr,1,2,0,4096,64,104.600695,24
rand,amr,1,2,0,4096,64,121.158411,24
spr,amr,1,2,0,4096,64,89.842191,24
pak,amr,3,0,0,4096,80,44.432445,24
rand,amr,3,0,0,4096,80,46.653699,24
spr,amr,3,0,0,4096,80,43.346016,24
pak,amr,4,0,1,4096,80,40.077812,24
rand,amr,4,0,1,4096,80,39.190641,24
spr,amr,4,0,1,4096,80,40.145207,24
pak,amr,5,0,2,4096,80,39.379576,24
rand,amr,5,0,2,4096,80,40.101347,24
spr,amr,5,0,2,4096,80,40.376017,24
pak,amr,2,1,0,4096,80,59.399148,24
rand,amr,2,1,0,4096,80,62.877099,24
spr,amr,2,1,0,4096,80,56.931967,24
pak,amr,1,2,0,4096,80,99.025691,24
rand,amr,1,2,0,4096,80,127.706532,24
spr,amr,1,2,0,4096,80,86.045283,24
