algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
pak,CoMD,3,0,0,1024,115,38.4766,20
rand,CoMD,3,0,0,1024,115,39.0183,20
spr,CoMD,4,0,1,1024,115,38.3922,20
pak,CoMD,4,0,1,1024,115,38.4633,20
rand,CoMD,4,0,1,1024,115,37.6299,20
spr,CoMD,5,0,2,1024,115,37.7582,20
pak,CoMD,5,0,2,1024,115,37.5364,20
rand,CoMD,5,0,2,1024,115,39.0896,20
spr,CoMD,1,2,0,1024,64,50.2394,24
pak,CoMD,1,2,0,1024,64,49.6902,24
rand,CoMD,1,2,0,1024,64,54.4138,24
spr,CoMD,2,1,0,1024,64,50.2437,24
pak,CoMD,2,1,0,1024,64,50.3129,24
rand,CoMD,2,1,0,1024,64,52.9553,24
spr,CoMD,3,0,0,1024,64,48.3830,24
pak,CoMD,3,0,0,1024,64,49.0081,24
rand,CoMD,3,0,0,1024,64,50.7728,24
spr,CoMD,4,0,1,1024,64,48.1590,24
pak,CoMD,4,0,1,1024,64,49.0840,24
rand,CoMD,4,0,1,1024,64,49.0854,24
spr,CoMD,5,0,2,1024,64,48.7705,24
pak,CoMD,5,0,2,1024,64,49.1731,24
rand,CoMD,5,0,2,1024,64,48.7493,24
spr,CoMD,1,2,0,1024,80,43.9614,24
pak,CoMD,1,2,0,1024,80,43.3831,24
rand,CoMD,1,2,0,1024,80,46.3953,24
spr,CoMD,2,1,0,1024,80,44.4307,24
pak,CoMD,2,1,0,1024,80,42.3984,24
rand,CoMD,2,1,0,1024,80,44.5374,24
spr,CoMD,3,0,0,1024,80,42.0167,24
pak,CoMD,3,0,0,1024,80,41.8551,24
rand,CoMD,3,0,0,1024,80,43.2264,24
spr,CoMD,4,0,1,1024,80,42.0119,24
pak,CoMD,4,0,1,1024,80,40.8574,24
rand,CoMD,4,0,1,1024,80,41.9977,24
spr,CoMD,5,0,2,1024,80,40.9376,24
pak,CoMD,5,0,2,1024,80,41.2541,24
rand,CoMD,5,0,2,1024,80,41.6449,24
spr,CoMD,1,2,0,1024,115,41.4997,24
pak,CoMD,1,2,0,1024,115,40.5269,24
rand,CoMD,1,2,0,1024,115,44.0891,24
spr,CoMD,2,1,0,1024,115,41.4810,24
pak,CoMD,2,1,0,1024,115,39.8196,24
rand,CoMD,2,1,0,1024,115,42.4320,24
spr,CoMD,3,0,0,1024,115,39.9956,24
pak,CoMD,3,0,0,1024,115,38.9416,24
rand,CoMD,3,0,0,1024,115,40.8458,24
spr,CoMD,4,0,1,1024,115,38.3175,24
pak,CoMD,4,0,1,1024,115,38.4868,24
rand,CoMD,4,0,1,1024,115,39.4503,24
spr,CoMD,5,0,2,1024,115,39.1719,24
pak,CoMD,5,0,2,1024,115,38.8139,24
rand,CoMD,5,0,2,1024,115,39.1027,24
rand,CoMD,1,2,0,1024,64,42.2215,16
rand,CoMD,2,1,0,1024,64,40.5293,16
rand,CoMD,3,0,0,1024,64,41.7816,16
rand,CoMD,4,0,1,1024,64,38.6675,16
rand,CoMD,5,0,2,1024,64,38.3338,16
rand,CoMD,1,2,0,1024,80,37.5619,16
rand,CoMD,2,1,0,1024,80,38.5990,16
rand,CoMD,3,0,0,1024,80,35.8481,16
rand,CoMD,4,0,1,1024,80,36.2113,16
rand,CoMD,5,0,2,1024,80,35.6126,16
rand,CoMD,1,2,0,1024,115,38.7354,16
rand,CoMD,2,1,0,1024,115,36.3282,16
rand,CoMD,3,0,0,1024,115,34.9057,16
