algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
spr,lu,4,0,1,4096,64,16.02,24
spr,lu,5,0,2,4096,64,16.02,24
spr,lu,1,2,0,4096,80,17.32,24
spr,lu,2,1,0,4096,80,14.34,24
spr,lu,3,0,0,4096,80,13.99,24
spr,lu,4,0,1,4096,80,14.06,24
spr,lu,5,0,2,4096,80,13.90,24
spr,lu,1,2,0,4096,115,16.95,24
spr,lu,2,1,0,4096,115,13.50,24
spr,lu,3,0,0,4096,115,13.12,24
spr,lu,4,0,1,4096,115,13.17,24
spr,lu,5,0,2,4096,115,13.15,24
rand,lu,1,2,0,4096,64,18.31,24
rand,lu,2,1,0,4096,64,16.57,24
rand,lu,3,0,0,4096,64,16.28,24
rand,lu,4,0,1,4096,64,16.18,24
rand,lu,5,0,2,4096,64,16.26,24
rand,lu,1,2,0,4096,80,14.83,24
rand,lu,2,1,0,4096,80,14.27,24
rand,lu,3,0,0,4096,80,14.14,24
rand,lu,4,0,1,4096,80,14.01,24
rand,lu,5,0,2,4096,80,13.98,24
rand,lu,1,2,0,4096,115,17.37,24
rand,lu,2,1,0,4096,115,13.68,24
rand,lu,3,0,0,4096,115,13.22,24
rand,lu,4,0,1,4096,115,13.12,24
rand,lu,5,0,2,4096,115,13.10,24
pak,lu,1,2,0,4096,64,22.77,24
pak,lu,2,1,0,4096,64,17.37,24
pak,lu,3,0,0,4096,64,17.34,24
pak,lu,4,0,1,4096,64,17.25,24
pak,lu,5,0,2,4096,64,17.09,24
pak,lu,1,2,0,4096,80,20.22,24
pak,lu,2,1,0,4096,80,14.97,24
pak,lu,3,0,0,4096,80,14.63,24
pak,lu,4,0,1,4096,80,14.60,24
pak,lu,5,0,2,4096,80,14.41,24
pak,lu,1,2,0,4096,115,19.64,24
pak,lu,2,1,0,4096,115,14.06,24
pak,lu,3,0,0,4096,115,13.52,24
pak,lu,4,0,1,4096,115,13.37,24
pak,lu,5,0,2,4096,115,13.39,24
rand,lu,1,2,0,4096,64,23.76,24
rand,lu,2,1,0,4096,64,17.51,24
rand,lu,3,0,0,4096,64,17.31,24
rand,lu,4,0,1,4096,64,17.22,24
rand,lu,5,0,2,4096,64,17.04,24
rand,lu,1,2,0,4096,80,15.91,24
rand,lu,2,1,0,4096,80,14.92,24
rand,lu,3,0,0,4096,80,14.61,24
rand,lu,4,0,1,4096,80,14.66,24
rand,lu,5,0,2,4096,80,14.47,24
rand,lu,1,2,0,4096,115,15.86,24
rand,lu,2,1,0,4096,115,14.29,24
rand,lu,3,0,0,4096,115,13.65,24
rand,lu,4,0,1,4096,115,13.71,24
rand,lu,5,0,2,4096,115,13.69,24
